ID	語形	品詞	燐字	意味	関連語	関連語ID	関連語タグ	同根語	関連する理語	例文	備考	799
419	mapwu	名詞；動詞		粉；粉にする、挽く					marfakhardz			
420	maqui	動詞；動詞	抗	抵抗する、反抗する；耐える				mak1.pk, mákúḷ.bt				
421	masa	動詞		超える					macc-			
422	masou	名詞；動詞		冒涜的な言葉、罵詈雑言；侮辱する、吐き捨てる				masátu.bt				
423	masu	後置詞		～のために								
424	masuni	動詞		塗る	macwe	403	同根語	bacú.bt, bácujúḷ.bt				
425	matutu	名詞	外	外、外部、他、よそ				bátat.bt				
426	maube	名詞		きのこ					curibajmorbern			
427	mauna	名詞	馬	馬				maun1.pk				
428	mauphu	動詞		迷わせる、惑わす					aplauxme			
429	mefoai	名詞		同音異義語					mefoaj			
430	mexi	副詞		全部、すっかり				báṣi.bt				
431	minu	名詞		頭痛					menaxarde			
432	mis^eo	名詞		自治、自制、自律					saqermisero		理語辞典ではmisúeo	
433	misa	名詞；形容詞	七	七、7；七つの								
434	misu	名詞		病気					nakimis			
435	mita	名詞；形容詞	十	十、10；十の								
436	mitiku	名詞	橋	橋				mit.pk				
437	miwou	名詞		苦労、骨折り					mevau			
438	modo	動詞	壊	壊れる、壊す				mot2.pk				
439	moho	動詞	行	行く、移動する	-moo	845	同根語	mok1.pk, bohúḷ.bt				
440	moloa	形容詞		甘い、心地よい				boḷorúḷ.bt	molojaine			
441	mono	名詞		鰹、カツオ					xorlarmorn			
442	mova	名詞	米	米				mo1.pk, mon.tk				
443	mukutu	名詞		鉛								
444	mukutu	動詞	撃	攻撃する、打つ				kut2.pk				
445	mungeai	名詞		未開拓地、荒野				báṇam.bt				
446	muo	動詞	止	止める				muo1.pk				
447	muohep	名詞		駅、停車場							< muo + -hep	
448	muta	名詞	家	家				mut2.pk, bádha.bt				
449	mutua	動詞	飛	飛ぶ				bátujúḷ.bt				
450	naho	動詞	加	加える、足し算する				náhúl.bt				
451	naipei	形容詞	労	緻密な、よくできた				naip2.pk, e naipe.pmcp				
452	naita	名詞	縦	縦					nert, netekte			
453	naiwou	名詞	酒	酒、アルコール				no1.pk, náju.bt				
454	naki	動詞		移動する、伝わる					nakimis			
455	naku	名詞；形容詞	九	九、9；九つの				nághu.bt, nou.tk				
456	nalua	名詞		海鳥、（特に）カモメ				náḷa.bt	nalva			
457	name	動詞	開	打ち開く、切り開く				nam2.pk, námúḷ.bt				
458	nami	名詞；形容詞	四	四、4；四つの				ap1.pk, naga.tk, nagamu.tk				
459	nanisu	名詞		ズボン					nais			
460	nanu	名詞	何	何、なに				nan2.pk, nána.bt				
461	nas^aiai	動詞		処方する					naxer			
462	nau	名詞		わたし				no.tk	navax			
463	naublau	名詞		中央政府				noblé.vef				
464	nauke	名詞		箱、ケース、容器				nauki.bt				
465	navou	名詞		雀、スズメ					nav			
466	nelua	名詞；名詞	猫	猫；姓の一つ。				ne2.pk				
467	nepha	名詞		ピスタチオ					nerfa			
468	ngaci	動詞		売る					garci			
469	ngaitwa	形容詞		～さん（男性への敬称）							語義変更；名称の前からかける	
470	ngaiweo	動詞		鋳造する、鋳込む、型にはめる				gháyoúḷ.bt, kewa-lu.tk				
471	ngakha	形容詞	激	強烈な				gak1.pk				
472	ngas'aa	動詞		理解する				ghaccúḷ.bt			用例ではngasóaa	
473	ngeipu	動詞	助	助ける				uaip2.pk				
474	ngodi	名詞		宮殿					nordi			
475	ngongau	名詞	刀	刀、剣、刃物				gau2.pk, ghau.bt				
476	ngui	名詞	傷	傷				gui2.pk, kuwi.tk				
477	nguwa	名詞；動詞	弓	弓；弓で射る、射撃する				gua2.pk, ghá.bt				
478	nicuu	名詞		エリート、精鋭					nixur			
479	niku	名詞；形容詞	六	六、6；六つの								
480	nilua	名詞；名詞	胸？	準備；胸？								
481	nimutu	名詞	族	民族				nim2.pk, nímaṣ.bt, nisu.tk				
482	ninu	名詞	紙	紙				nin1.pk, nín.bt				
483	nisisa	名詞		河豚、フグ					nisirsa			
484	nisiu	形容詞	強	強い				tiu2.az				
485	nisu	名詞		波					tinirza			
486	niuni	名詞		安全					niurn			
487	nonu	形容詞	悪	憎い				non1.pk, nonúḷ.bt, non.bt				
488	noqo	名詞		靴					firganqerw		理語辞書ではnoqoę	
489	noxai	名詞		酸					nox			
490	noyaii	名詞；動詞		学問、勉強；学ぶ、勉強する	noyhep	491	派生関係	nui2.pk				
491	noyhep	名詞		学校	noyaii, -hep	490, 2	派生関係；派生関係	nui2 hue.pk			< noyaii + -hep	
493	nua	名詞	水	水				nua2.pk, nutta.bt, na.tk				
494	nuisu	名詞	軍	軍				núsu.bt	naanwis			
495	nukina	名詞		制度					niukirna			
496	numa	動詞	守	守る				num1.pk				
497	numiu	名詞		ピンク				numíju.bt				
498	nup'iu	名詞		ココナッツ					nuporju		理語辞書ではnupóiu	
499	nuta	形容詞		どの				not.bt				
500	nutha	名詞		ゲーム、遊戯				núdha.bt, nudhorúḷ.bt	lerxenurtha			
501	nyalu	名詞		繊維					nyal			
502	nyaunei	形容詞		強い、激しい				nauṇaghúḷ.bt, naunijúḷ.bt			バートnauṇaghúḷ, naunijúḷにおける強調の語素として見ることができる。	
503	nyauphi	名詞		あばた、瘢痕					nyaphi			
504	nyautu	名詞	詞	単語				nautu.bt	pzeniatz			
505	nyeka	形容詞；名詞	連	連続した、つながった；つながり、連番				niek1.pk				
506	nyitwei	名詞		新人、新入り								
507	nyouhai	形容詞		問題のある、不確かな、あやしい					niirfe			
508	o			分離詞							用法不明	
509	ocou	動詞	散	花が散る				co1.pk				
510	odui	名詞	油	油、石油				dui.pk, hodhi.bt				
511	ohi	名詞；形容詞	友	友；親しい				hi1.pk, ohi.bt, oki.tk				
512	oqaiu	動詞		ふりかける				okajúḷ.bt				
513	owifizu	形容詞		奇妙な					arvifit			
514	owu	名詞	平	板、プレート				o1.pk				
515	p'afaiu	名詞		岬					pafey			
516	p'aibaia	名詞		興味、関心				bhajúḷ.bt				
517	paxo	名詞	犬	犬	phaxo	526	同義語	pa2.pk				
518	pechu	名詞		チーズ					perchu			
519	peixe	形容詞；副詞		後ろにある、後ろの；後ろに				peixe.pmcp				
520	peki	形容詞	硬	強い				pek1.pk				
521	pelu	名詞		文字					xpelai'r			
522	perao	名詞	道	道				po1.pk, mo.tk				
523	pet^ii	名詞	星	星				pet2.pk				
524	phadi	名詞		ベルト					fadi'agerve			
525	phaungo	名詞		酢					feun			
526	phaxo	名詞	犬	犬	paxo	517	同義語	pa2.pk				
527	phedu	形容詞	闇	闇夜、真っ暗な				huet.pk, bhát.bt, bhátúḷ.bt, medu.tk, phed.li				
528	pheini	名詞	泉	泉、源泉、根源、大元					pheini'avirga			
529	phengua	名詞		言語					fengguacapea			
530	pheou	名詞		コース、道順、路線					fey			
531	phidi	動詞	震	揺れる、震える				pit1.pk				
532	phobo	名詞	手	手				hop1.pk, bhoma.bt, bhomúḷ.bt, momo.tk				
533	phouzou	動詞		踏み越える、またぐ					fosorr			
534	pirai	動詞		繋ぐ、縛る、結ぶ					pirfem			
535	piu	名詞	力	能力				py.pk				
536	pogau	名詞		(獣の)巣穴				bhoṇau.bt, phornau.li				
537	pogie	名詞；名詞	隊	軍、隊、団、組；旅団					podzir			
538	pogo	名詞	色	色				pok.pk, bhog.bt				
539	poi'afe	名詞		癌、腫瘍					parfe			
540	pola	名詞	羊	羊				po1.pk				
541	polaphobo	名詞	羊手	ポラホボ（地名）				polapobo.pmcp				
542	pouje	後置詞	通	～を通って				bhán.bt				
543	puatu	動詞；動詞	奮	怒る、憤慨する、興奮する；起こる、興る、発生する				puat1.pk				
544	pura	名詞；名詞	風	風；感染症、病気				pua2.pk, bhára.bt, bháro.bt, muka.tk				
545	puto	形容詞；副詞	真；慥	本当の；本当に、心から				put.pk				
546	pwiche	名詞；名詞		調書、記録；条約、議定書					firche			
547	pwojei	名詞	位	順位、等級、身分、地位				pui1.pk, bhai.bt				
548	pwoutwi	形容詞	海	海の				bhodi.bt	portvirtax			
549	pwugo	名詞	獣	愚かさ、獣性	bwogo	101	関連語	mug-u.tk				
550	qaijie	形容詞	中	中程度、ほどほどの、中庸の				kuai2.pk				
551	qexua	名詞		絵、イメージ				keca.tk				
552	qoda	名詞	豆	豆				kuot1.pk				
553	qusiai	名詞		樹脂					quci'e			
554	quvoo	動詞	塩	塩漬けにする	gio	230	関連語	kuo1.pk, ghíyo.bt				
555	raijei	名詞		貴かんらん石、クリソライト					dacrarje			
556	raishe	動詞		格闘する、闘う					rerx			
557	reae	名詞	軸	軸、茎、棒、(グラスの)脚				la1.pk, e.bt				
558	requa	名詞		泥				rek.bt				
559	reto	名詞	雪	雪				let1.pk				
560	rit'io	名詞		コウモリ					riti'a			
561	rita	動詞	入	入れる				lit2.pk, ídúḷ.bt				
562	riwei	動詞		抑圧する					irvej			
563	rizi	名詞		温度								
564	roblai	名詞		くしゃみ					roble			
565	roku	名詞	笛	笛				lok1.pk				
566	rutwu	形容詞	渋	渋い				rutoṣí.bt				
567	s^esoa	名詞		手下、配下					xaksversar		理語辞書ではsúesoa	
568	s^ibau	動詞；動詞		抽出する；引用する					curibaj		理語辞書ではsúibar	
569	s^odzou	形容詞		偶然の、運任せの					sudz		理語辞書ではsúodzou	
570	s^udea	名詞		金網					eucsurda, csurda		理語辞典ではsúudea	
571	s^ut'uu	名詞		間違い、ミス					xturkhurte			
572	sahu	名詞		双数				ṣahe.bt?, ṣe.bt?			sahuaと同根か。	
573	sahua	名詞		二項式				ṣahe.bt?, ṣe.bt?			sahuと同根か。	
574	saiguu	名詞		魚醤	chaula	128	同根語		ceg			
575	saingoai	形容詞		不意に、突然に				seṇa.bt				
576	sainiu	名詞		上衣、ベスト、チョッキ				cainíju.bt				
577	sakika	動詞	来	来る	-sakka	846	同根語	sak2.pk, srakkq.ln, cákíkúḷ.bt, rakkúḷ.bt, sáka.bt, sakká.bt, cákíkaúḷ.bt, cak-u.tk				
578	sakitu	名詞		やかん					cakirt			
579	sami	動詞	急	急ぐ	sam	839	派生関係	sam1.pk				
580	samiki	形容詞		新しい					cerkmern			
581	sap'ea	形容詞		古い					fengguasapea			
582	sasia	名詞		姉					carxa			
583	sati	名詞	素	もと、素、原料				sat1.pk				
584	sau	名詞	上	上				sau2.pk, co-lu.tk				
585	saupu	名詞	獣	獣、けだもの				saup1.pk				
586	sauta	動詞		乗る							sauとの関連が疑われている。	
587	seai	名詞		厄介ごと、もめごと、問題								
588	seloo	動詞		聞き違える					axorlaselar			
589	sephu	動詞	享	借りる	sepai	815	同根語	sep.pk				
590	shaimai	名詞		四角形				xaimai.pmcf				
591	shaute	形容詞		最初の、初めの					xauternaz			
592	sheau	名詞	意	意味、価値				xa2.pk				
593	shoke	形容詞		背の、裏の					xaksversar			
594	shomu	動詞	積	積み上げる	shomukhazu	595	派生関係	xom1.pk, ṣoma.bt, coma.tk, com-u.tk				
595	shomukhazu	名詞	積	堤防	shomu, khazu	594, 353	派生関係；派生関係					
596	shousa	形容詞	穏	穏やかな、優しい				cosa-lu.tk				
597	sikina	動詞		よける、避ける					cikina			
598	sinisa	名詞	名	名前				sin1.pk				
599	sinu	名詞		生理					cakstinernzirn			
600	sip'ui	名詞	国	国、地方、郷里				sip1.pk, síbha.bt, ṣibhai.bt, cima.tk				
601	sisata	動詞		なくなる					korsissatit			
602	sitana	名詞		触覚					sirtna			
603	sitika	名詞	蜜	蜜、ハチミツ				sik2.pk				
604	situsu	名詞	埴	粘土				sít.bt	stuc			
605	situu	名詞	術	手段、方法、対策				sit1.pk				
606	siusa	名詞	天	天、空、天空				syt2.pk, ṣúsa.bt				
607	sono	名詞	前	前				son1.pk				
608	soqoai	形容詞		不完全な					saqermisero			
609	suu	名詞	銭	金、ズー				su1.pk, suúḷ.bt	sur			
610	sua	名詞		円錐、円錐形				cuwa.pmcp				
611	suaki	接続詞		そして					korsissatit			
612	suama	名詞		商売、商い					sarma			
613	sui	動詞	使	使う				sui1.pk, sujúḷ.bt				
614	suisamia	形容詞		中性の					jancaek			
615	suka	名詞		いつ				coghi.bt				
616	suki	名詞		スキ（アイル民族の古い名称）					menyrkskir			
617	sukisu	名詞		神経、経絡					cakstinern			
618	sulou	名詞		ハッカ、ミント				súḷa.bt, suḷorúḷ.bt				
619	suna	名詞	五	五、5				un1.pk, ṣán.bt, cuna.tk				
620	sunama	名詞		(筋肉の)膜					cunam			
621	suqui	動詞		詐欺、だます					agesquik			
622	susi	名詞	孰	どれ	susie	837	同根語	cu.tk				
623	sutiki	名詞		哺乳類					incuturk			
624	suvoo	動詞		～すぎる				síyoúḷ.bt		chabbama modo suvoos「彼は殺しすぎた」		
625	t'aitaiu	間投詞	咍	なんとまあ！				tai.pk, deja.bt				
626	t'edzou	動詞		赤面する					turx		理語辞書ではtóedzou	
627	t^ebaia	名詞		苦役、骨折り仕事					tue		理語辞書ではtúebaia	
628	t^enuai	名詞		列車								
629	t^es'aiai	名詞；動詞		爆竹；爆竹を鳴らす					tesarja			
630	tacoa	動詞		後に続く、遅れてくる				dácúḷ.bt, dáṣ.bt				
631	tadui	名詞		カメムシ					tadyr			
632	tai	名詞		エネルギー、力					tinirza			
633	taide	名詞	鶏	鶏、ニワトリ				dhet.bt, tetien.li?				
634	taik'eo	名詞		ブラジャー					tekor			
635	taishei	名詞		奴隷					terxe			
636	taku	名詞；名詞	衣	服；（ゲームの）盤				tak1.pk				
637	tana	名詞	南	南				tan1.pk				
638	tananu	動詞		驚く								
639	tanu	動詞		～してもよい				danúḷ.bt				
640	taoe	名詞		基盤					tarj			
641	taseai	動詞		暴風が吹く					tasierjupuj			
642	tasiku	名詞		防御				taciku.pmcp				
643	tata	副詞；後置詞	唯	ただ；～のみ、だけ				tet.pk, dat.bt, tetu.tk				
644	tatami	名詞	体	身体、からだ				tat2.pk				
645	tatiu	名詞		遺跡					taxur			
646	tatusa	名詞		王朝、王国				atesè.vef				
647	tauhi	名詞	文	文、文章、フレーズ				tauk1.pk				
648	taupwo	名詞	端	縁、へり、辺境、外れ				tau2.pk, daupha.bt, dáp.bt				
649	tedzii	名詞		長い間					texlis			
650	teire	名詞		日に灼けた					terre			
651	tenye	動詞	混	かき混ぜる、かき回す	tenden	833	関連語	ten1.pk				
652	thaise	動詞		聞く、聞こえる				dheseúḷ.bt				
653	thana	名詞		のこぎり					thana			
654	theicho	名詞		(新しい)発見				dhezáúḷ.bt				
655	thiblei	名詞		炭化水素					thilejaxerg			
656	tibaie	後置詞？		～ということ				díma.bt				
657	timini	副詞		頻繁に								
658	timiu	名詞		田舎					timirve			
659	tinanu	名詞		伝令					cakstinern			
660	tiniki	名詞		ツル、鶴				díghi.bt	tenierk			
661	tisi	名詞	其	それ	chesi	130	同義語	ti.tk, dí.bt				
662	tisia	名詞	茶	茶				tia2.pk				
663	titati	動詞		死ぬ								
664	titimu	動詞	待	待つ				tim1.pk				
665	titu	形容詞	正	正しい				tit1.pk				
666	titusu	動詞		殺す					korsissatit			
667	tiu	副詞	再	再び				ty.pk, tiu.bt				
668	tiua	動詞	従	従う				tia1.pk				
669	tiuna	名詞	左	左				tyn1.pk, tijuna.pmcp				
670	tixuo	名詞；名詞	花	花、草花；最良の部分				xuo1.pk, díṣlo.bt				
671	tobai	副詞		すでに、もう								
672	tobwu	名詞	樽	容器				to2.pk, ton.tk				
673	toca	形容詞		尊敬すべき				ṭác.bt				
674	topo	動詞		ある								
675	tubi	動詞		打つ				tup1.az				
676	tui	動詞	与	与える、～してあげる				tui2.pk, ḍujúḷ.bt				
677	tukaie	名詞	網	金網、焼き網				tuk2.pk, doghajúḷ.bt				
678	tukumuku	名詞		陸橋、歩道橋				mit mit.pk				
679	tuma	名詞		誰				doma.bt				
680	tuma-na	名詞		誰か				domana.bt				
681	tumi	形容詞	甘	甘い				tum1.pk				
682	tumiti	名詞		概念					xymizir			
683	tunii	動詞		予定する				tuni.pmcp				
684	tunu	名詞	神	神				tun1.pk, tuna.tk				
685	tunuki	動詞		終わる								
686	tut^oe	名詞	毎	それぞれ				tut1.pk				
687	twaji	形容詞	遠	遠い、はるかな				tuai2.pk				
688	twikei	名詞	味	味、味覚、趣味、好み				tuik1.pk				
689	twouno	名詞		ナツメヤシ				ṭánasácú.bt, ṭánadhokit.bt				
690	twuphu	名詞		マンゴー					tverfe			
691	ugurief	名詞		自身					agrief			
692	uki	名詞	男	男	-ki	3	派生関係	ki1.pk, kí.bt				
693	uku	名詞	物	者、物	-ku	4	派生関係	ku.pk, k.bt				
694	umi	名詞；形容詞	三	三、3；三つの				om2.pk, lom.bt, umu.tk			活用の際に長子音化が起こらない。	
695	umu	名詞；形容詞	千	千；千の				mu1.az				
696	umumu	名詞		市場					iumim			
697	usa	名詞	女	女	-sa	7	派生関係	sa1.pk, sá.bt, ca.tk				
698	utata	名詞		話					ytarta			
699	utiku	名詞		自分、自己、自我	tina	772	関連語	untik.pmcp	untirk		学問的なニュアンスが強い語である。一般的な再帰の意味ではもっぱらtinaを用いる。	
700	utu	名詞	下	下	uttuja, utuja	763, 844	派生関係；派生関係	ut2.pk				
701	utui	動詞	遊	遊ぶ				tu2.pk, rúṣ.bt				
702	utuka	動詞		降りる							utuとの関連が疑われている。	
703	vas^iai	名詞		氏族、クラン、派閥					farxaj			
704	vedii	名詞；動詞		テレパシー；頭の中で話す					vedir			
705	vefica	名詞		ヴェフィス								
706	vezoe	名詞；形容詞	山	山、山岳；たくさんの				zo1.pk				
707	vililizi	動詞		転覆する、ひっくりかえる					vililirz			
708	webwei	名詞		紐穴								
709	wechu	動詞；動詞		差し迫る；せき立てる					hormarverdzar			
710	weikhou	動詞		通り抜ける、横切る				wákahúḷ.bt				
711	wequu	名詞		向こう側				wekupolto.pmcp				
712	wesi	名詞；形容詞	万	万；一万の				ue1.pk, ue1.az				
713	witeai	形容詞		無作法な、失礼な、無礼な					witer			
714	wuaxu	形容詞	無	ない (無い, 亡い)				háṣin.bt, wac-u.tk				
715	wuo	形容詞；形容詞；名詞	件	現実の、実在の；本当の、本物の；ものごと、案件				uo1.pk, ho.bt				
716	wupwei	動詞	穴	穴をあける、穿孔				uep.pk				
717	wutwa	名詞		習慣					adwirdurta			
718	xadoo	名詞		手品、奇術					xador			
719	xaigue	名詞；名詞		絵、図、イラスト、影、像；比喩					karnaxerge			
720	xaingau	名詞		原油、石油					thilejaxerg			
721	xangei	名詞		後輩、後継者					xane			
722	xatwa	名詞		先輩、先人					xatva			
723	xauau	名詞；動詞	歌	歌、さえずり、ウィット；歌う				xau1.pk, ṣahúḷ.bt				
724	xaunge	名詞？		食肉目(？)					cauxarnekorxa, cauxarne		取り入れられた理語側での意味に不整合	
725	xefoo	名詞；名詞；問いただす	謎	謎、不思議、秘密；秘儀、奥義；問いただす				xep2.pk				
726	xeh^eu	名詞；形容詞	夏	夏；夏の				xo1.pk, ṣárahúḷ.bt				
727	xemo	名詞	月	月				xem1.pk, cemo.tk				
728	xepee	形容詞		大きい				xerf.li?, xep.pmcp?	xpelai'r			
729	xidi	名詞；名詞	故	理由、動機、根拠；モチーフ、主題				xit2.pk				
730	xisa	名詞	足	足、脚、あし				xi1.pk, ṣíṣ.bt, cisa.tk				
731	xiyu	名詞；名詞；動詞	裁	判断；（ゲームの）投げ棒；裁く、判断する、審判する				xy1.pk, ṣíya.bt		A-mo B-mo C-nu xiyu「AはBをCとみなす」		
732	xota	名詞	季	季節				xot1.pk				
733	xoudo	形容詞	錘	重い				xo2.pk, ṣot.bt				
734	xoupwei	副詞		～もまた								
735	xufoa	名詞；形容詞；動詞	豊	豊かさ；豊かである；豊かにする、栄えさせる				ho1.pk				
736	yanio	動詞	横	横、横切る				jano.tk				
737	yeho	動詞		解散する								
738	yikho	名詞	西	西				yk2.pk				
739	yodai	動詞		沈む、もぐる				josedúḷ.bt				
740	yoma	動詞		拾う				jomúḷ.bt				
741	yubui	名詞	後	背中、裏、後ろ				yp.pk				
742	yuh^aa	動詞	磨	磨く				ia1.pk, joraúḷ.bt				
743	yujo	接続詞	亦	または				y.pk, jo.bt, o.tk				
744	yunyu	名詞	官	政府、自治体、当局				y1.pk, joṇu.bt				
745	yuwiu	接続詞		もし～なら、～である場合				hemijoya.bt, joya.bt			現代ではhubwaに役割を奪われており、ほぼ使われない。	
746	-za	接尾辞		（古語）副詞化語尾					xauternazなど多数		現代では生産性を失っており、痕跡的にしか残っていない。	
747	zabee	名詞	全	全部	anau	45	関連語	be1.pk, bhá-.bt				
748	zablei	名詞		網膜					cablei			
749	zagoo	名詞		ソース、液体の調味料					cardza			
750	zaih^eu	名詞		中毒、依存症					caikheu			
751	zaiha	名詞		展示、露出					zerhes			
752	zaseo	形容詞		少ない、少量の					firjal			
753	zenge	名詞		アンモニア					zeng			
754	zieo	動詞	広	広がる、伸びる				zi1.pk				
755	ziphei	動詞	失	～をなくす、失う				zit1.pk	blofeziphera			
756	zisho	副詞		さらに、続けて								
757	zugatie	動詞		まとめる					sgati'ar			
758	zugihasu	動詞		水を撒く					zgias			
759	zuhiasuka	名詞		先生、教師、教授	zuhio, asuka	760, 50	派生関係；派生関係					
760	zuhio	名詞		動機付け、理由付け								
761	zunaii	名詞	論	論理、論証、推論				zui1.pk, cun.tk				
762	kaisa akia	間投詞	善日	こんにちは				kait kia1.pk				
763	uttuja	形容詞		下賤な、低俗な、卑しい	utu	700	派生関係					
764	phokhou	動詞	増	増える								
765	simua	動詞		減る								
766	sawasuka	名詞	上人	偉人、地位のある人、立派な人	sau, asuka	584, 50	派生関係；派生関係	sau2 cuk2.pk				
767	mahe	動詞		作る、～へと変化させる								
768	kinuti	名詞		鍋							kinuti < kin + *uti 説が唱えられており、金属製の鍋に限定されるかもしれない	
769	ahou	形容詞；形容詞	軟	軟らかい；簡単な				ho.pk				
770	takina	動詞		与える				dákínúḷ.bt				
771	mimi	動詞	引	引く				mi2.pk				
772	tina	名詞	己	自分、おのれ	utiku	699	関連語	tin1.pk, dína.bt, tina.tk			学問的な自我としての自分自身の意味にはutikuが用いられる。	
773	nyoupi	形容詞	賢	賢い、利口な								
774	twoshou	動詞	呻	うめく、うなる、嘆く								
775	k'ewo	名詞；形容詞	呉	クレオス；クレオスの				kot2.pk				
776	tiyaai	形容詞；副詞	反	反対の；反対に								
777	soshi	形容詞；動詞	逆	逆さの；逆さにする、ひっくり返す								
778	soshi	接続詞	逆道	逆に							主客が入れ替わるようなときにしか使えず、対照を示すような場合には使えない。	
779	sania	名詞	顔	顔				san1.pk			sono【前】との関連が疑われている	
780	cwouphima	名詞		（人名）	cwouphi	161	派生関係					
781	pochu	名詞	竹	竹								
782	tegu	動詞		（時間が）経過する								
783	satamu	名詞		スズ、錫								
784	chauna	名詞		銀								
785	ceecimu	名詞		セーシム							穀物の粉で作った生地を焼いて、肉や野菜など好きな具を包んで食べる料理。アイルの家庭料理であるが、上手に生地を焼くのには技量が要求されるため、屋台で食べられることも多い。同様の料理はラネーメに広く知られる。	
786	h^ibao	形容詞	飢	空腹な、飢えている	kat^oe	344	対義語					
787	sishu	動詞	下行	負ける、敗北する								
788	h^ibao tejanuma tunupokunu sishur	熟語	無口叮生行下神赤	飢える叮生神赤に敗る、「腹が減っては戦はできぬ」								
789	pusho	動詞		取る、手に入れる、持ち上げる、選ぶ	guko	231	関連語				gukoに比べると積極性、意志性が強い語である。	
790	cwatu	動詞	斥	捨てる				cuat.pk				
791	titiu	副詞	再再	繰り返して、何度も								
792	taunyuroe	名詞	多少	数（の大きさ）、多寡	maka	407	関連語	taun1 hue1.pk			多いか少ないかに着目して数を見るときの語。	
793	aniu	動詞		触れる、接触する								
794	hepe	名詞	処	場所	-hep, hep'iai	2, 253	派生関係；派生関係	hue.pk, epa.bt				
795	naipicho	動詞	労	はたらく、頑張る、働く	naipei	451	派生関係					
796	sauxiyu	名詞；動詞	上裁	準備、事前の用意、根回し；準備する、事前に用意する	sau, xiyu	584, 731	派生関係；派生関係	sau2 xy1.pk		sauja akiaga gattuma sauxiyu liwor. 明日の祭りの準備をしなければ。；xiyuga sauxiyu 裁判の準備		
797	bupuchuwo	名詞	歪片	ワイルドカード、（トランプの）ジョーカー	chuwo	139	派生関係	bup1 zuo1.pk			パイグ語からの借用。	
798	ba	接続詞	加	～と								
799	xelukani	動詞		無視する、黙殺する、放置する							リパライン語xelnkanからの借用。	
800	chuwaku	名詞	片；片時；時片	（単位としての）時間、ツオ	chuwo	139	派生関係	zuo1 kak.pk			一日を百等分したうちの一。リパラオネでいう1080stususnであり、現世で言うと15分弱。	
801	kuwasuka	名詞	筆	事務官				kua2 cuk2.pk			アイル共和国では役人はkuwasuka(筆), kaikasuka(兵)の二つに大きく分けられる。kuwasukaは後方での事務を、kaikasukaは現場での実働を担当する。	
802	kaikasuka	名詞	兵	実働官				kaik cuk2.pk, kekacuka.tk			アイル共和国では役人はkuwasuka(筆), kaikasuka(兵)の二つに大きく分けられる。kuwasukaは後方での事務を、kaikasukaは現場での実働を担当する。	
803	huagei	名詞；形容詞	黄	黄色；黄色い	huangi, khaicwi	263, 352	関連語；類義語					
804	kanide	名詞；形容詞	赤	赤；赤い	kani	337	派生関係					
805	deiphe	名詞；形容詞	青	青；青い								
806	huroja	名詞；形容詞	黒	黒；黒い	huroo	268	派生関係					
807	ohinyeka	名詞	友連	組み合わせ	ohi, nyeka	511, 505	派生関係；派生関係					
808	niukina	名詞	律	ルール、規則							リパライン語niukirnaからの借用。	
809	p'ujae	動詞	囲	包囲する、取り囲む								
810	p'ija	名詞	囲	（図や盤における）マス目							パイグ語からの借用。	
811	mun	名詞	無	ゼロ、（ゲームにおける）「無」、「0」							パイグ語からの借用。	
812	susitu	名詞		中央、中心							リパライン語sysitからの借用。	
813	shomamaka	名詞	積値	合計値	shomu, maka	594, 407	派生関係；派生関係					
814	imiku	名詞	思	考え、思い	imika	281	派生関係					
815	sepai	動詞	享	収穫する、刈り入れる、採取する	sephu	589	同根語	sep.pk				
816	wakaja	形容詞	妙	特殊な、特別な、普通でない								
817	docuna	動詞		返す、戻す、返却する							リパライン語dosnaからの借用。	
818	reasuka	名詞	軸人	（ゲームの）親				la1 cuk2.pk			パイグ語からの翻訳借用。	
819	aikachuwo	名詞	光片	（ゲームの）光駒、ドラ	chuwo	139	派生関係	aik2 zuo1.pk			パイグ語からの翻訳借用。	
820	tasami	形容詞	多	多い								
821	aupwau	名詞		銅								
822	aibledu	動詞		軽蔑する、侮蔑する							リパライン語ayplerdからの借用。	
823	cepu	名詞；名詞	集	（中央政府の）省；（行政機関としての）地方自治体	dado	164	関連語				東島通商語CEPからの借用。	
824	sooh^a	名詞；動詞	上行	勝利；勝つ							sauとの関連が疑われている。	
825	tweikou	動詞	残	残る				tuek.pk				
826	k'uwai	名詞	翰	（人名）				kuai1.pk				
827	al	小辞		（形容詞の後について比較級を表す）								
828	leinu	名詞	銭軸	会社、企業							リパライン語lerynからの借用。	
829	twaupei	動詞		飼いならす、慣れさせる						amuama lutwu leinunu tobai twaupei gukor? 「新しい会社にはもう慣れた？」		
830	guaqa	名詞	眉	眉毛								
831	lafimete	名詞		専門家							リパライン語lafirmeterからの借用。	
832	matuka	動詞		盗む								
833	tenden	形容詞；副詞	混混	ぐちゃぐちゃである、滅茶苦茶である；グツグツと	tenye	651	関連語	ten1 ten1.pk			オノマトペからの派生と思われる	
834	mohohep	名詞		目的地、目標、ゴール	moho, -hep	439, 2	派生関係；派生関係					
835	tamunua	名詞	皇水	（ゲームの）皇水、タムヌア				tam2 nua2.pk			パイグ語からの借用。	
836	tamuzo	名詞	皇山	（ゲームの）皇山、タムツォ				tam2 zuo1.pk			パイグ語からの借用。	
837	susie	形容詞	孰	どの～でも	susi	622	同根語	cu.tk		susie poggoma pusshomo kaisa. 「どの色を選んでもよい」	英語で言うany, whateverの意味である。	
